snapshot_ts,store_id,sku,product_name,on_hand_qty,expiry_date,lot_id,purchased_date,unit_cost_at_lot,days_to_expiry,daily_velocity,coverage_days,core_risk,stock_norm,risk_score,risk_level
2026-02-19 01:28:57,X037,SKU00023,Karamelli Çikolata 65g,180,2026-02-27,8FC8BD0DC0EF,2025-08-26,1.99,7,0.7333333333333333,245.4542107442581,30.68177634303226,0.35714285714285715,24.616849645854384,high
2026-02-19 01:28:57,X081,SKU00117,Meyve Suyu Şeftali 200ml,48,2026-03-04,E8A807289CED,2025-07-26,3.21,12,0.0,365.0,28.076923076923077,0.09523809523809523,22.480586080586082,high
2026-02-19 01:28:57,X016,SKU00172,Pekmez Üzüm 700g,481,2026-03-06,395A0DC1A591,2024-11-12,17.78,14,0.8666666666666667,365.0,24.333333333333332,0.9543650793650794,19.657539682539685,high
2026-02-19 01:28:57,X046,SKU00193,Nutella 750g,345,2026-03-06,C3D6809FC0B3,2025-10-21,19.16,14,1.1333333333333333,304.41149610750347,20.294099740500233,0.6845238095238095,16.37218455430495,high
2026-02-19 01:28:57,X073,SKU00184,Sandviç Ekmeği 400g,326,2026-03-09,FB288BA5272E,2025-10-25,10.45,17,0.26666666666666666,365.0,20.27777777777778,0.6468253968253969,16.351587301587305,high
2026-02-19 01:28:57,X015,SKU00145,Un Beyaz 1kg,167,2026-03-09,FDA6CF1D9545,2024-07-25,24.0,17,0.2,365.0,20.27777777777778,0.33134920634920634,16.288492063492065,high
2026-02-19 01:28:57,X015,SKU00278,Kağıt Mendil Kutu 150'li,72,2026-03-09,51FEC18491A6,2025-06-03,4.83,17,0.13333333333333333,365.0,20.27777777777778,0.14285714285714285,16.250793650793653,high
2026-02-19 01:28:57,X086,SKU00075,Tahin Pekmez Karışımı 350g,299,2026-03-10,1504B237F04E,2024-07-05,7.21,18,0.6,365.0,19.210526315789473,0.5932539682539683,15.487071846282372,high
2026-02-19 01:28:57,X049,SKU00019,Sütlü Çikolata Kare 80g,108,2026-03-05,4A784B307398,2025-04-20,2.74,13,0.4,269.9993250016875,19.28566607154911,0.21428571428571427,15.47139000009643,high
2026-02-19 01:28:57,X073,SKU00078,Kraker Tuzlu 150g,108,2026-03-05,FDD1C3B67599,2025-10-09,4.08,13,0.4,269.9993250016875,19.28566607154911,0.21428571428571427,15.47139000009643,high
2026-02-19 01:28:57,X004,SKU00106,Kola Şekersiz 2L,294,2026-03-06,246148CA84E8,2025-10-05,2.6,14,1.0666666666666667,275.62474160180477,18.374982773453652,0.5833333333333334,14.81665288542959,high
2026-02-19 01:28:57,X015,SKU00085,Ayran Bardak 250ml,464,2026-03-11,65767C923B4C,2026-02-24,2.01,19,0.8666666666666667,365.0,18.25,0.9206349206349206,14.784126984126985,high
2026-02-19 01:28:57,X046,SKU00165,Mısır Yağı 1L,450,2026-03-07,B138BE86F4DF,2025-05-07,4.06,15,1.6,281.2498242188599,17.578114013678743,0.8928571428571429,14.241062639514423,high
2026-02-19 01:28:57,X073,SKU00231,Mantı Kayseri 500g,323,2026-03-12,06C69010E33B,2025-10-08,9.7,20,0.6,365.0,17.38095238095238,0.6408730158730159,14.032936507936508,high
2026-02-19 01:28:57,X015,SKU00117,Meyve Suyu Şeftali 200ml,270,2026-03-12,8C64DFA6D04A,2025-05-16,3.26,20,0.13333333333333333,365.0,17.38095238095238,0.5357142857142857,14.011904761904763,high
2026-02-19 01:28:57,X059,SKU00001,JELİBON SPK TŞEFTALİ 10 PST 160G,468,2026-02-26,2427494568B8,2025-09-25,3.76,6,4.133333333333334,113.22577905827924,16.17511129403989,0.9285714285714286,13.125803320946199,high
2026-02-19 01:28:57,X099,SKU00175,Zeytin Yeşil Kırık 400g,459,2026-03-14,72734F40A775,2024-07-25,10.76,22,0.4666666666666667,365.0,15.869565217391305,0.9107142857142857,12.877795031055902,high
2026-02-19 01:28:57,X008,SKU00106,Kola Şekersiz 2L,407,2026-03-14,343E5FE2CF46,2025-05-29,2.59,22,0.3333333333333333,365.0,15.869565217391305,0.8075396825396826,12.857160110420981,high
2026-02-19 01:28:57,X081,SKU00005,Tofita Vişne 47gr,291,2026-03-14,072A12F68726,2025-08-31,2.35,22,0.4666666666666667,365.0,15.869565217391305,0.5773809523809523,12.811128364389235,high
2026-02-19 01:28:57,X073,SKU00288,Islak Bebek Mendili 3'lü Paket,226,2026-03-14,9AC3AA826D28,2025-09-08,3.2,22,0.6,365.0,15.869565217391305,0.44841269841269843,12.785334713595585,high
